Task,Start,Finish,Resource
Patient 1,09:13:00,09:15:00,daily_rounds
Patient 1,09:15:00,09:20:00,consultation
Patient 1,09:40:00,09:44:00,x_ray
Patient 1,09:52:00,10:27:00,ct_scan
Patient 1,10:35:00,10:41:00,dispensary
Patient 2,10:02:00,10:05:00,daily_rounds
Patient 2,10:36:00,10:54:00,consultation
Patient 2,12:29:00,13:02:00,ct_scan
Patient 2,13:02:00,13:11:00,x_ray
Patient 2,13:11:00,13:25:00,dispensary
Patient 3,09:04:00,09:13:00,daily_rounds
Patient 3,12:07:00,12:29:00,ct_scan
Patient 3,12:29:00,12:38:00,x_ray
Patient 3,12:38:00,12:53:00,consultation
Patient 3,12:53:00,13:01:00,dispensary
Patient 4,09:01:00,09:04:00,daily_rounds
Patient 4,09:04:00,09:12:00,x_ray
Patient 4,09:23:00,09:52:00,ct_scan
Patient 4,10:02:00,10:15:00,consultation
Patient 4,10:15:00,10:35:00,dispensary
Patient 5,10:06:00,10:17:00,daily_rounds
Patient 5,10:17:00,10:31:00,x_ray
Patient 5,10:54:00,11:08:00,consultation
Patient 5,13:02:00,13:25:00,ct_scan
Patient 5,13:25:00,13:37:00,dispensary
Patient 6,09:16:00,10:02:00,daily_rounds
Patient 6,10:27:00,11:26:00,ct_scan
Patient 6,11:26:00,11:32:00,consultation
Patient 6,11:32:00,11:55:00,x_ray
Patient 6,11:55:00,12:21:00,dispensary
Patient 7,09:15:00,09:16:00,daily_rounds
Patient 7,11:45:00,12:07:00,ct_scan
Patient 7,12:07:00,12:21:00,x_ray
Patient 7,12:21:00,12:37:00,consultation
Patient 7,12:37:00,12:48:00,dispensary
Patient 8,10:17:00,10:38:00,daily_rounds
Patient 8,11:26:00,11:45:00,ct_scan
Patient 8,11:45:00,11:59:00,consultation
Patient 8,11:59:00,12:06:00,x_ray
Patient 8,12:21:00,12:30:00,dispensary
Patient 9,09:00:00,09:01:00,daily_rounds
Patient 9,09:01:00,09:23:00,ct_scan
Patient 9,09:23:00,09:40:00,x_ray
Patient 9,09:40:00,10:02:00,consultation
Patient 9,10:02:00,10:15:00,dispensary
Patient 10,10:05:00,10:06:00,daily_rounds
Patient 10,10:15:00,10:36:00,consultation
Patient 10,13:25:00,13:47:00,ct_scan
Patient 10,13:47:00,13:48:00,x_ray
Patient 10,13:48:00,13:49:00,dispensary
